filename,composer,rh_bin_16th,rh_bin_8th,rh_bin_qtr,rh_bin_half,rh_bin_whole,rh_mean_dur,rh_var_dur,rh_mean_ioi,rh_var_ioi
chopin_op33_4.mid,chopin,0.6268364348677767,0.6797257590597453,0.4201762977473066,0.0416258570029383,0.0,0.8819784524975515,0.3759664415859841,0.6578431372549022,0.40053489042675666
chopin_op35_2.mid,chopin,0.0676056338028169,0.8338028169014085,0.4295774647887324,0.06830985915492958,0.0,0.9623239436619718,0.38053474013092636,1.3427362482369534,21.99854032676787
chopin_op35_3.mid,chopin,0.4293785310734463,1.4519774011299436,0.10734463276836158,0.029661016949152543,0.0,0.6177024482109227,0.15332284429406992,0.6053748231966054,1.5962158071737669
chopin_op35_1.mid,chopin,3.3438639125151886,0.09234507897934387,0.07351154313487242,0.021567436208991493,0.0,0.42157756176589967,0.19877009804114854,0.4243161094224928,2.855433718379495
chopin_op25_e4.mid,chopin,2.472361809045226,0.24623115577889448,0.17587939698492464,0.03391959798994975,0.0,0.6469849246231156,0.6354306078129341,0.6505037783375315,0.108173549733835
chopin_op33_2.mid,chopin,0.6528189910979229,0.9812067260138477,0.29080118694362017,0.027695351137487636,0.0,0.7540389053742174,0.3247927321933756,0.4227722772277226,0.1867338986373904
chopin_op35_4.mid,chopin,0.7388825541619156,1.628278221208666,0.0011402508551881414,0.0,0.0,0.4847966552641582,0.007687267025427314,0.1688533941814038,0.03309720212339047
chopin_op25_e1.mid,chopin,2.4713375796178343,0.008492569002123142,0.3673036093418259,0.004246284501061571,0.0,0.5610403397027601,0.22358299412642385,0.4127659574468085,0.5974434133091895
chopin_op25_e3.mid,chopin,2.2828784119106698,0.8535980148883374,0.0024813895781637717,0.0,0.0,0.38844086021505375,0.031245969965402513,0.25838509316770186,0.10916882064735156
chopin_op53.mid,chopin,3.3790849673202614,0.16993464052287582,0.06045751633986928,0.004901960784313725,0.0,0.34645562770562766,0.07864048576558577,0.8524390243902439,7.021168396236759
chopin_op25_e2.mid,chopin,3.929113924050633,0.030379746835443037,0.0,0.0012658227848101266,0.0,0.3400673400673383,0.008056505005158204,0.3468354430379735,0.030021631148854203
chopin-p7.mid,chopin,0.631578947368421,0.10526315789473684,0.5789473684210527,0.10526315789473684,0.0,1.118421052631579,0.33137119113573404,2.5555555555555554,5.184413580246914
chopin-p6.mid,chopin,0.8421052631578947,1.2140350877192982,0.16140350877192983,0.010526315789473684,0.0,0.5859649122807018,0.1461188057863958,0.2658450704225352,0.05520668022217814
chopin-p15.mid,chopin,0.08497723823975721,1.5842185128983308,0.12291350531107739,0.025796661608497723,0.0,0.704855842185129,0.3423284693550949,0.5349544072948328,0.9313389796842232
chopin-p17.mid,chopin,0.06557377049180328,1.2459016393442623,0.21311475409836064,0.07377049180327869,0.0,1.0536202185792352,0.7604730051285508,1.0987654320987654,1.4408626733729615
chopin-p4.mid,chopin,0.6666666666666666,0.7435897435897436,0.23076923076923078,0.11538461538461539,0.0,1.1666666666666665,1.0496794871794866,1.1558441558441557,1.0606693090459336
chopin_op23.mid,chopin,1.773941635840526,0.6715988491574189,0.12988080558980683,0.043773119605425403,0.0,0.665707631182353,0.524117680972502,0.4766652960526312,1.5705189738651135
chopin-p16.mid,chopin,3.4949267192784665,0.2502818489289741,0.0,0.0005636978579481398,0.0,0.2852311161217587,0.011512432492891815,0.19836343115124153,0.013205560920055644
chopin-p5.mid,chopin,3.857142857142857,0.07142857142857142,0.0,0.0,0.0,0.2591269841269841,0.0021653754094230226,0.1288782816229117,0.015609958931653385
chopin-p1.mid,chopin,2.108108108108108,0.918918918918919,0.013513513513513514,0.0,0.0,0.43621399176954734,0.0468572710799505,0.41875,0.0979123263888891
chopin-p12.mid,chopin,3.1235059760956174,0.22310756972111553,0.10756972111553785,0.0,0.0,0.4027224435590969,0.13183300441439194,0.473,0.5035210000000001
chopin-p13.mid,chopin,0.17706237424547283,1.7223340040241448,0.026156941649899398,0.028169014084507043,0.0,0.6846076458752515,0.5684099567222246,0.4470766129032258,0.054784800582075965
chopin-p11.mid,chopin,0.3364485981308411,1.7476635514018692,0.018691588785046728,0.011682242990654205,0.0,0.5514018691588785,0.15331579177220722,0.36619718309859156,0.2279888249685909
chopin-p2.mid,chopin,0.5925925925925926,0.5925925925925926,0.2777777777777778,0.1111111111111111,0.0,1.330246913580247,1.1399081694863593,1.5188679245283019,2.8175161188244138
chopin_op18.mid,chopin,1.4844838505383153,0.9208359721342622,0.1272957568081064,0.02058264724509183,0.0,0.5542537470973193,0.2122331546680752,0.6806083650190118,0.765278801839623
chopin_op31.mid,chopin,2.654857142857143,0.3914285714285714,0.13885714285714285,0.0008571428571428571,0.0,0.46544888133673157,0.16963050667761456,0.3387393767705382,1.2077316339955377
chopin-p10.mid,chopin,1.5,0.4444444444444444,0.2361111111111111,0.08333333333333333,0.0,0.8298611111111112,0.5708791473765432,0.7323943661971831,0.3790914501091054
chopin-p3.mid,chopin,3.8771331058020477,0.0034129692832764505,0.013651877133105802,0.005119453924914676,0.0,0.3101535836177474,0.15007181941548528,0.21794871794871795,0.006985535831689678
chopin-p21.mid,chopin,0.0718562874251497,1.6167664670658684,0.10778443113772455,0.03293413173652695,0.0,0.687125748502994,0.2789809602352183,1.0120481927710843,6.821390985629265
chopin_op27_2.mid,chopin,3.5181576616474755,0.11691762621789194,0.054030115146147036,0.003985828166519044,0.0,0.3422645408916445,0.10651038213896909,0.20212765957446807,0.010833731535972226
chopin-p20.mid,chopin,4.0,0.0,0.0,0.0,0.0,0.25,0.0,5.142857142857143,3.26530612244898
chopin-p22.mid,chopin,0.045454545454545456,1.4545454545454546,0.17045454545454544,0.045454545454545456,0.0,0.7301136363636364,0.21196248708677687,1.3706896551724137,1.59606619104241
chopin_op27_1.mid,chopin,3.2280701754385963,0.08679593721144968,0.09418282548476455,0.024469067405355493,0.0,0.5256293600242625,0.32700211881851327,0.3328779599271415,0.91809582582673
chopin-p23.mid,chopin,3.5261958997722096,0.11389521640091116,0.03416856492027335,0.012528473804100227,0.0,0.35459377372816997,0.16143738876406954,0.1917808219178082,0.013258168094910332
chopin-p8.mid,chopin,2.6511627906976742,0.661498708010336,0.0,0.003229974160206718,0.0,0.39341085271317827,0.0900599423111592,0.1723803363518758,0.03307249987494793
chopin_op10_e12.mid,chopin,3.7976653696498053,0.01556420233463035,0.009727626459143969,0.014591439688715954,0.0,0.3424124513618677,0.19703711133653326,0.6379142300194932,0.32954204332577164
chopin-p9.mid,chopin,2.013245033112583,0.33112582781456956,0.2847682119205298,0.019867549668874173,0.0,0.6777041942604854,0.27360885731132634,0.30666666666666664,0.04345555555555547
