filename,composer,pc_0,pc_1,pc_2,pc_3,pc_4,pc_5,pc_6,pc_7,pc_8,pc_9,pc_10,pc_11
chopin_op33_4.mid,chopin,0.050930460333006855,0.12242899118511263,0.10577864838393732,0.05190989226248776,0.07933398628795299,0.050930460333006855,0.15866797257590598,0.0832517140058766,0.05484818805093046,0.04603330068560235,0.06758080313418217,0.12830558276199805
chopin_op35_2.mid,chopin,0.05070422535211268,0.18732394366197183,0.016901408450704224,0.09154929577464789,0.018309859154929577,0.11267605633802817,0.12394366197183099,0.028169014084507043,0.11830985915492957,0.02112676056338028,0.1676056338028169,0.06338028169014084
chopin_op35_3.mid,chopin,0.0903954802259887,0.16101694915254236,0.01694915254237288,0.13559322033898305,0.014124293785310734,0.1426553672316384,0.1271186440677966,0.00847457627118644,0.1483050847457627,0.005649717514124294,0.1497175141242938,0.0
chopin_op35_1.mid,chopin,0.08323207776427703,0.11846901579586877,0.02916160388821385,0.11117861482381532,0.03523693803159174,0.16707168894289187,0.08262454434993925,0.058930741190765495,0.10874848116646416,0.053462940461725394,0.12697448359659783,0.02490886998784933
chopin_op25_e4.mid,chopin,0.17587939698492464,0.032663316582914576,0.11055276381909548,0.03015075376884422,0.12311557788944724,0.05527638190954774,0.007537688442211055,0.03768844221105527,0.07035175879396985,0.19095477386934673,0.022613065326633167,0.14321608040201006
chopin_op33_2.mid,chopin,0.010880316518298714,0.12957467853610286,0.20771513353115728,0.0009891196834817012,0.10484668644906034,0.018793273986152326,0.1414441147378833,0.09198813056379822,0.058358061325420374,0.1641938674579624,0.00791295746785361,0.06330365974282888
chopin_op35_4.mid,chopin,0.11174458380843785,0.11972633979475485,0.03420752565564424,0.11288483466362599,0.053591790193842644,0.1322690992018244,0.09122006841505131,0.05017103762827822,0.06499429874572406,0.0661345496009122,0.11744583808437856,0.04561003420752566
chopin_op25_e1.mid,chopin,0.208067940552017,0.09554140127388536,0.029723991507430998,0.1910828025477707,0.050955414012738856,0.11040339702760085,0.012738853503184714,0.07006369426751592,0.11040339702760085,0.01910828025477707,0.07643312101910828,0.025477707006369428
chopin_op25_e3.mid,chopin,0.15260545905707196,0.07320099255583126,0.04590570719602978,0.034739454094292806,0.07568238213399504,0.21712158808933002,0.11166253101736973,0.09305210918114144,0.04218362282878412,0.04218362282878412,0.04838709677419355,0.06327543424317618
chopin_op53.mid,chopin,0.11363636363636363,0.08116883116883117,0.04383116883116883,0.1461038961038961,0.040584415584415584,0.09577922077922078,0.05032467532467533,0.12337662337662338,0.10714285714285714,0.032467532467532464,0.1331168831168831,0.032467532467532464
chopin_op25_e2.mid,chopin,0.20959595959595959,0.10353535353535354,0.0025252525252525255,0.09595959595959595,0.07323232323232323,0.13636363636363635,0.010101010101010102,0.09595959595959595,0.1691919191919192,0.0025252525252525255,0.09848484848484848,0.0025252525252525255
chopin-p7.mid,chopin,0.0,0.05263157894736842,0.21052631578947367,0.0,0.3157894736842105,0.0,0.0,0.0,0.0,0.3157894736842105,0.0,0.10526315789473684
chopin-p6.mid,chopin,0.07017543859649122,0.04912280701754386,0.18596491228070175,0.0,0.07368421052631578,0.010526315789473684,0.14385964912280702,0.07368421052631578,0.0,0.014035087719298246,0.05964912280701754,0.3192982456140351
chopin-p15.mid,chopin,0.042488619119878605,0.0834597875569044,0.0015174506828528073,0.04704097116843703,0.004552352048558422,0.07738998482549317,0.02276176024279211,0.0030349013657056147,0.6707132018209409,0.0030349013657056147,0.0409711684370258,0.0030349013657056147
chopin-p17.mid,chopin,0.26639344262295084,0.12704918032786885,0.01639344262295082,0.13934426229508196,0.07377049180327869,0.04918032786885246,0.02459016393442623,0.012295081967213115,0.1557377049180328,0.00819672131147541,0.09836065573770492,0.028688524590163935
chopin-p4.mid,chopin,0.14102564102564102,0.0,0.038461538461538464,0.05128205128205128,0.1282051282051282,0.0,0.1282051282051282,0.038461538461538464,0.02564102564102564,0.16666666666666666,0.038461538461538464,0.24358974358974358
chopin_op23.mid,chopin,0.08590217838060009,0.02096177558569667,0.16974928072338677,0.10891903000411016,0.038635429510891904,0.08055898068228524,0.05137690094533498,0.12083847102342787,0.06041923551171394,0.0690505548705302,0.16235100698725852,0.031237155774763666
chopin-p16.mid,chopin,0.1161217587373168,0.12965050732807215,0.033821871476888386,0.1319052987598647,0.06538895152198422,0.14092446448703494,0.09695603156708005,0.02142051860202931,0.06426155580608793,0.060879368658399095,0.1161217587373168,0.02254791431792559
chopin-p5.mid,chopin,0.011904761904761904,0.09285714285714286,0.1380952380952381,0.0,0.1380952380952381,0.02142857142857143,0.10476190476190476,0.10714285714285714,0.01904761904761905,0.20238095238095238,0.05,0.11428571428571428
chopin-p1.mid,chopin,0.20987654320987653,0.012345679012345678,0.037037037037037035,0.024691358024691357,0.13580246913580246,0.024691358024691357,0.012345679012345678,0.20987654320987653,0.012345679012345678,0.20987654320987653,0.024691358024691357,0.08641975308641975
chopin-p12.mid,chopin,0.02390438247011952,0.09163346613545817,0.03187250996015936,0.18326693227091634,0.07569721115537849,0.01593625498007968,0.05179282868525897,0.043824701195219126,0.07171314741035857,0.055776892430278883,0.15139442231075698,0.20318725099601595
chopin-p13.mid,chopin,0.04024144869215292,0.158953722334004,0.01006036217303823,0.10865191146881288,0.03219315895372234,0.11871227364185111,0.1750503018108652,0.022132796780684104,0.1267605633802817,0.002012072434607646,0.1227364185110664,0.08249496981891348
chopin-p11.mid,chopin,0.0,0.10747663551401869,0.004672897196261682,0.1588785046728972,0.0514018691588785,0.014018691588785047,0.3691588785046729,0.004672897196261682,0.09345794392523364,0.0,0.0794392523364486,0.11682242990654206
chopin-p2.mid,chopin,0.037037037037037035,0.018518518518518517,0.18518518518518517,0.0,0.1111111111111111,0.07407407407407407,0.12962962962962962,0.018518518518518517,0.018518518518518517,0.18518518518518517,0.0,0.2222222222222222
chopin_op18.mid,chopin,0.0512982900569981,0.06523115896136795,0.03356554781507283,0.16592780240658644,0.034198860037998734,0.1481950601646612,0.045598480050664976,0.07283090563647879,0.18999366687777075,0.02089930335655478,0.13426219126029132,0.03799873337555415
chopin_op31.mid,chopin,0.06966864910790145,0.1416029453412631,0.030869442084395356,0.08382894364202775,0.0713678844519966,0.10365335598980459,0.09912206173888417,0.029453412630982726,0.2010761823845936,0.06400453129425092,0.044746530727839136,0.06060606060606061
chopin-p10.mid,chopin,0.0,0.06944444444444445,0.027777777777777776,0.19444444444444445,0.18055555555555555,0.0,0.06944444444444445,0.0,0.25,0.19444444444444445,0.013888888888888888,0.0
chopin-p3.mid,chopin,0.08361774744027303,0.010238907849829351,0.19965870307167236,0.0017064846416382253,0.10921501706484642,0.015358361774744027,0.027303754266211604,0.19283276450511946,0.0,0.20648464163822525,0.0,0.15358361774744028
chopin-p21.mid,chopin,0.041916167664670656,0.005988023952095809,0.07784431137724551,0.08383233532934131,0.04790419161676647,0.281437125748503,0.05389221556886228,0.1317365269461078,0.0,0.08982035928143713,0.18562874251497005,0.0
chopin_op27_2.mid,chopin,0.048715677590788306,0.1771479185119575,0.026572187776793623,0.12843224092116917,0.050487156775907885,0.16474756421612047,0.13640389725420726,0.013286093888396812,0.1275465013286094,0.046058458813108945,0.06554472984942426,0.015057573073516387
chopin-p20.mid,chopin,0.0,0.0,0.25,0.0,0.0,0.375,0.25,0.0,0.0,0.125,0.0,0.0
chopin-p22.mid,chopin,0.14772727272727273,0.0,0.07954545454545454,0.20454545454545456,0.0,0.09090909090909091,0.13636363636363635,0.2159090909090909,0.056818181818181816,0.056818181818181816,0.011363636363636364,0.0
chopin_op27_1.mid,chopin,0.0373066424021838,0.2538671519563239,0.06278434940855324,0.044585987261146494,0.06369426751592357,0.03275705186533212,0.07370336669699727,0.02183803457688808,0.2411282984531392,0.10828025477707007,0.010009099181073703,0.05004549590536852
chopin-p23.mid,chopin,0.25740318906605925,0.0,0.0888382687927107,0.004555808656036446,0.05466970387243736,0.22779043280182232,0.0,0.13211845102505695,0.004555808656036446,0.17995444191343962,0.03416856492027335,0.015945330296127564
chopin-p8.mid,chopin,0.037467700258397935,0.18604651162790697,0.08914728682170543,0.08010335917312661,0.04521963824289406,0.082687338501292,0.17700258397932817,0.01937984496124031,0.07493540051679587,0.06718346253229975,0.060723514211886306,0.08010335917312661
chopin_op10_e12.mid,chopin,0.16536964980544747,0.05642023346303502,0.1575875486381323,0.10894941634241245,0.021400778210116732,0.10311284046692606,0.033073929961089495,0.14785992217898833,0.08560311284046693,0.013618677042801557,0.05058365758754864,0.05642023346303502
chopin-p9.mid,chopin,0.08609271523178808,0.07947019867549669,0.08609271523178808,0.12582781456953643,0.2185430463576159,0.019867549668874173,0.019867549668874173,0.039735099337748346,0.039735099337748346,0.019867549668874173,0.0,0.26490066225165565
chopin-p18.mid,chopin,0.15859030837004406,0.07048458149779736,0.022026431718061675,0.06167400881057269,0.06607929515418502,0.12334801762114538,0.048458149779735685,0.1145374449339207,0.07488986784140969,0.06607929515418502,0.14977973568281938,0.04405286343612335
chopin-p24.mid,chopin,0.10421545667447307,0.04449648711943794,0.15339578454332553,0.02107728337236534,0.10304449648711944,0.1323185011709602,0.0117096018735363,0.08079625292740047,0.06791569086651054,0.22365339578454332,0.026932084309133488,0.03044496487119438
chopin_op10_e05.mid,chopin,0.09090909090909091,0.3246753246753247,0.0,0.0,0.0,0.012987012987012988,0.09090909090909091,0.0,0.23376623376623376,0.0,0.1038961038961039,0.14285714285714285
chopin-p19.mid,chopin,0.06775510204081632,0.045714285714285714,0.0636734693877551,0.1910204081632653,0.0163265306122449,0.11591836734693878,0.04,0.10285714285714286,0.06938775510204082,0.037551020408163265,0.21224489795918366,0.037551020408163265
chopin_op25_e12.mid,chopin,0.23422053231939163,0.030798479087452472,0.08098859315589353,0.08593155893536121,0.04904942965779468,0.10836501901140684,0.006463878326996198,0.19695817490494297,0.12813688212927757,0.01026615969581749,0.02053231939163498,0.04828897338403042
chopin_op7_2.mid,chopin,0.03680981595092025,0.08588957055214724,0.18200408997955012,0.05521472392638037,0.16768916155419222,0.06748466257668712,0.03885480572597137,0.026584867075664622,0.03067484662576687,0.16768916155419222,0.03885480572597137,0.10224948875255624
chopin_op25_e11.mid,chopin,0.1277533039647577,0.030837004405286344,0.05726872246696035,0.04405286343612335,0.21585903083700442,0.06607929515418502,0.039647577092511016,0.07929515418502203,0.10572687224669604,0.12334801762114538,0.013215859030837005,0.09691629955947137
chopin_op7_1.mid,chopin,0.12571428571428572,0.02666666666666667,0.09523809523809523,0.03428571428571429,0.06476190476190476,0.25142857142857145,0.0038095238095238095,0.10476190476190476,0.0,0.10857142857142857,0.18476190476190477,0.0
chopin_op66.mid,chopin,0.05825242718446602,0.18030513176144244,0.009708737864077669,0.1393897364771151,0.07281553398058252,0.04472954230235784,0.11546463245492372,0.018030513176144243,0.20839112343966712,0.07350901525658807,0.04507628294036061,0.03432732316227462
beethoven_opus90_2.mid,beethoven,0.03003384094754653,0.08460236886632826,0.015228426395939087,0.07233502538071065,0.1319796954314721,0.01988155668358714,0.12944162436548223,0.01903553299492386,0.11082910321489002,0.09475465313028765,0.028764805414551606,0.26311336717428085
beethoven_opus90_1.mid,beethoven,0.08166969147005444,0.029945553539019964,0.07713248638838476,0.025408348457350273,0.15789473684210525,0.03539019963702359,0.12613430127041741,0.147005444646098,0.017241379310344827,0.09891107078039928,0.034482758620689655,0.16878402903811252
beethoven_pathetique_1.mid,beethoven,0.19050410316529895,0.03048065650644783,0.0615474794841735,0.12602579132473624,0.029015240328253224,0.08264947245017586,0.027842907385697536,0.16617819460726846,0.11283704572098475,0.02608440797186401,0.12133645955451348,0.025498241500586168
beethoven_pathetique_2.mid,beethoven,0.10073260073260074,0.10256410256410256,0.029304029304029304,0.23076923076923078,0.029304029304029304,0.07509157509157509,0.003663003663003663,0.11721611721611722,0.15018315018315018,0.01098901098901099,0.13736263736263737,0.01282051282051282
beethoven_pathetique_3.mid,beethoven,0.17609391675560299,0.017609391675560297,0.1264674493062967,0.12540021344717184,0.026147278548559232,0.11152614727854857,0.014941302027748132,0.1712913553895411,0.061899679829242264,0.025613660618996798,0.07150480256136606,0.07150480256136606
beethoven_opus10_2.mid,beethoven,0.12727272727272726,0.08969696969696969,0.02909090909090909,0.263030303030303,0.01696969696969697,0.0703030303030303,0.009696969696969697,0.08848484848484849,0.15878787878787878,0.02181818181818182,0.09333333333333334,0.03151515151515152
